text,label
So frustrating! I regret every minute of it.,0
I hated this game. It was awful and painful.,0
Better than expected — fantastic experience.,1
Absolutely great. Would install again.,1
Better than expected — fantastic experience.,1
I'm genuinely impressed. amazing and satisfying.,1
I hated this experience. It was horrible and confusing.,0
Absolutely broken. Would never watch again.,0
The app was pleasant. Great job.,1
Better than expected — great experience.,1
I'm genuinely disappointed. broken and frustrating.,0
I hated this service. It was broken and painful.,0
It barely worked and felt bad.,0
Absolutely excellent. Would use again.,1
It worked perfectly and felt wonderful.,1
So bad! I regret every minute of it.,0
Absolutely great. Would recommend again.,1
It barely worked and felt terrible.,0
Absolutely bad. Would never recommend again.,0
This was bad. The update made me annoyed.,0
This was wonderful. The movie made me happy.,1
It worked perfectly and felt smooth.,1
This was frustrating. The service made me annoyed.,0
I loved this feature. It was great and satisfying.,1
It barely worked and felt annoying.,0
The feature was delightful. Great job.,1
So frustrating! I regret every minute of it.,0
So terrible! I regret every minute of it.,0
